Tweet,Sentiment
"Tesla shares drop after an initial rally during the quarterly conference call as CEO Musk cut off several analystsê questions, calling them ",AgainstTesla
Tesla is launching new Grid Services program.  This program will provide additional stream of income for Tesla by leveraging customer installed fleet of behind the meter battery storage to sell Grid Services to Utilities. ,ForTesla
"UPDATE: Tesla CEO ElonMusk does 180, doubles down on 'boneheaded' analyst questions in series of tweets. REFUSES to answer questions on cash burn. If it looks, feels, and financially models like a cash burning Ponzi scheme.. It probably is.",AgainstTesla
"""If Nikola Tesla had not been censured we could have been traveling between the stars by now."" _ Nassim Haramein",ForTesla
I love the elonmusk hate after yesterdayês earnings call...Tesla as a company is both a social and economic experiment thatês underlying purpose is to provide beneficial progress to mankind...I could give two shits about providing shareholder value Tesla,ForTesla
"""Boring, bonehead questions..."" elonmusk loses patience with analyst's questions...and the market starts to lose a little patience with him...Tesla set to drop on open ",AgainstTesla
I have become convinced that all those who own Tesla and remain bullish about the company were not trading the market in 1999-2000 and have no idea what happened 18y ago,AgainstTesla
"On CNBC just now:  Bob Lutz, former GM vice chair, said about Telsa:  Chapter 11 is a near certainty.They are going to run out of money.",AgainstTesla
"Does-production-matter-?NoWizard-of-Oz-Smoke-and-MirrorsagainTESLAThis-has-Enron-accounting-standards-all-over-it.Good-luck-SHORTSTSLA",AgainstTesla
"How did you go bankrupt? Bill asked.Two ways,  Mike said. Gradually and then suddenly.The dialogue above is from Ernest Hemingway's 1926 novel, The Sun Also Rises. Tesla TSLA",AgainstTesla
Tesla is burning cash at tremendous pace... ,AgainstTesla
"Great job representing $TSLA shareholders on the call today Gfilche HyperChangeTV. Biggest thing bears are missing is pace of innovation. No one close now, no one with any hope of being close in the next decade. elonmusk Tesla Tesla",ForTesla
"Tesla is losing $6,500 every minute",AgainstTesla
Musk is sleeping at the Tesla plant because he had envisioned it. His idea was to have a skeleton crew (including himself) to operate/manage the robots. If only he could read this. His mistake is falling in love with job that is not his & neglecting being a true leader.,AgainstTesla
